feedback coefficients,min-entropy,Lyapunov exponent,"number of 
different states"
"10000100100010	",0.593152,0.092525,1038
"10100001000100	",0.470948,0.06976,4586
"11001000000100	",0.441857,0.085102,6638
"10000001100001	",0.552513,0.040392,279
"10001001000100	",0.490967,0.0683,1940
"10000100010001	",0.542159,0.098842,1045
"11000001000100	",0.485501,0.070596,6122
"10100000001010	",0.619799,0.086408,5323
"11100000100000	",0.584596,0.089201,7211
"10000110001000	",0.642656,0.095826,1037
"10000100000011	",0.626481,0.101761,1062
"10100100010000	",0.593165,0.086277,5465
"11000010100000	",0.619841,0.094529,7289
"10010101000000	",0.555985,0.098742,3630
"11010000001000	",0.578382,0.11075,7398
"10000101000001	",0.611786,0.102907,1056
"10000010000011	",0.641657,0.01393,543
"10001000010001	",0.654193,0.055591,2043
"11000001000001	",0.574213,0.102741,7203
"10000110000001	",0.591444,0.099624,1054
"11001000001000	",0.662945,0.075024,7234
"11000000100010	",0.631662,0.08741,7347
"10000100001001	",0.653817,0.047928,1075
"10100001010000	",0.647272,0.087788,5200
"11000000011000	",0.546391,0.088023,7081
"10000010000101	",0.606288,0.076138,537
"10011100000000	",0.564386,0.072406,3653
"10000001110000	",0.510359,0.06673,265
"11011000000000	",0.69577,0.074168,7467
"10000110000100	",0.464636,0.108025,1032
"10010010000100	",0.495315,0.096509,3351
"10000011000010	",0.601455,0.065658,523
"10001100010000	",0.537883,0.091999,2031
"10000001010001	",0.556633,0.083186,278
"10000001001010	",0.555604,0.058747,278
"11100100000000	",0.531654,0.069711,7264
"11010000010000	",0.504085,0.082329,7335
"10000001010100	",0.47704,0.064066,260
"10000100010100	",0.333035,0.076384,994
"10000010010100	",0.473666,0.055593,523
"10110010000000	",0.533955,0.068656,5557
"11000010010000	",0.634911,0.085251,6912
"10000000101001	",0.720334,0.026048,183
"11100010000000	",0.586405,0.086692,7161
"10001001100000	",0.621483,0.054947,2037
"10001100100000	",0.55618,0.060879,2036
"10001010000100	",0.440615,0.081311,1968
"10100000000011	",0.618682,0.087825,5312
"10011000000001	",0.587182,0.079907,3754
"10001100000010	",0.663111,0.093932,2047
"10000100110000	",0.521983,0.061861,1030
"10100001001000	",0.489809,0.014969,4773
"10010000001010	",0.569134,0.074035,3718
"11100000000100	",0.468393,0.089939,6817
"11000000001100	",0.492911,0.095034,5453
"11000000100001	",0.492354,0.098199,7292
"11100000000010	",0.663624,0.090995,7047
"11001010000000	",0.497485,0.048399,7139
"10010001100000	",0.671265,0.084224,3710
"11000011000000	",0.520803,0.082168,6919
"10000010100010	",0.565768,0.048097,528
"11010000100000	",0.615868,0.087605,7369
"10100010000010	",0.527665,0.048069,5485
"10100000101000	",0.530802,0.083422,5279
"10100100001000	",0.575866,0.073949,5486
"10100001100000	",0.614961,0.094654,5592
"10100010100000	",0.507653,0.080316,5609
"10001000101000	",0.534567,0.052819,2027
"10010010100000	",0.587596,0.082358,3702
"10001000010010	",0.583833,0.097815,2046
"11000001001000	",0.633444,0.045471,6983
"11010000000001	",0.63743,0.10259,7401
"10100100000001	",0.517122,0.051317,5663
"11000100010000	",0.529397,0.086562,7073
"11000010000100	",0.48215,0.064297,6135
"11000000010001	",0.572878,0.090974,7325
"11000110000000	",0.565297,0.084485,7152
"10010000010100	",0.457765,0.092141,3269
"11000000100100	",0.414468,0.101867,5757
"10100011000000	",0.554068,0.090196,5215
"10000010100001	",0.587243,0.076394,536
"10010000000110	",0.55939,0.074215,3651
"11100000001000	",0.566076,0.104008,7141
"10010000100001	",0.531416,0.070783,3728
"10100110000000	",0.566189,0.061895,5517
"10001010100000	",0.594601,0.084389,2033
"10011001000000	",0.539984,0.069227,3570
"10010100000001	",0.687922,0.074315,3696
"10100001000001	",0.706191,0.028094,5485
"10101000001000	",0.554513,0.092232,5463
"10100100000100	",0.49287,0.063671,5121
"10100101000000	",0.569067,0.091913,5412
"10101000010000	",0.586062,0.053156,5354
"10001000010100	",0.433796,0.053147,1931
"10000011000001	",0.590313,0.064216,533
"11000000101000	",0.565428,0.069415,7053
"10001000000011	",0.503044,0.071434,2059
"10001101000000	",0.617649,0.030075,2026
"10001000110000	",0.568684,0.090594,1997
"10000100100100	",0.412288,0.087977,1025
"11000001000010	",0.555926,0.069095,7206
"10001000100001	",0.538301,0.084126,2054
"11010010000000	",0.53873,0.099778,7202
"10000101001000	",0.634188,0.085181,1039
"11000100100000	",0.543743,0.089714,7353
"10000010001001	",0.681594,0.029734,567
"10000110010000	",0.534207,0.056138,1038
"11000000001001	",0.707101,0.044371,7375
"10110000000100	",0.408492,0.066317,5260
"11000001100000	",0.585596,0.094362,7313
"10000100100001	",0.558973,0.066721,1057
"10100000010001	",0.635823,0.087479,5447
"00011011000000	",0.529843,0.073345,8203
"00100000011010	",0.632475,0.083477,8402
"01011010000000	",0.516403,0.055359,8377
"00000100110100	",0.46706,0.091653,7411
"00000001110100	",0.462266,0.071525,7063
"00100011010000	",0.505769,0.087171,8373
"00100100001100	",0.408429,0.074898,7847
"00010000010110	",0.730444,0.080731,7874
"01001010010000	",0.553525,0.093577,8457
"01000000001011	",0.623566,0.077707,8432
"00011000110000	",0.577457,0.058117,8511
"01010000000011	",0.59871,0.088115,8503
"01000101010000	",0.518711,0.074327,8453
"00000101100010	",0.542838,0.098384,8509
"00011000101000	",0.599707,0.089175,8448
"00010100001001	",0.575942,0.088014,8542
"00000011000011	",0.613866,0.099078,8388
"01000100110000	",0.588705,0.083185,8423
"00110001000010	",0.580259,0.060085,8492
"00001011000010	",0.519199,0.079551,8457
"01100100000010	",0.613967,0.082,8530
"01010100000010	",0.583584,0.054604,8506
"01000010101000	",0.608969,0.09827,8339
"01000001010001	",0.633322,0.101351,8409
"00110000001010	",0.616059,0.092634,8522
"00000011010100	",0.414911,0.080093,7188
"01000001000110	",0.552237,0.091715,8265
"00101010000100	",0.461705,0.086742,8186
"01110001000000	",0.502571,0.086873,8316
"01100001000001	",0.618297,0.086339,8245
"00010000110001	",0.645593,0.10373,8471
"01010101000000	",0.533295,0.062269,8383
"00100101000001	",0.551198,0.095511,8401
"00100010011000	",0.619976,0.091038,8313
"00000010100110	",0.561695,0.094313,8359
"00110001001000	",0.538534,0.080146,8437
"01100110000000	",0.599766,0.087658,8369
"00000000011110	",0.61365,0.095389,8188
"01001101000000	",0.51763,0.103192,8364
"00010001100010	",0.586938,0.09068,8394
"00000110000011	",0.569762,0.057972,8537
"00000000111100	",0.447532,0.086139,6564
"00101000110000	",0.548671,0.073967,8391
"00000001001011	",0.538037,0.040047,8397
"01000001001010	",0.56927,0.103848,8373
"00010001010100	",0.421077,0.076795,7827
"01000001001001	",0.612155,0.082977,8404
"01000100001001	",0.6163,0.079374,8524
"01001000001001	",0.574125,0.108056,8559
"00001010001100	",0.495152,0.07379,7324
"00001000110100	",0.466685,0.068963,7483
"00000011001100	",0.423532,0.105788,6873
"00100001001010	",0.617573,0.104639,8332
"00100000101010	",0.722555,0.095532,8364
"01001010100000	",0.555076,0.058515,8532
"01010000001100	",0.417009,0.081758,7943
"01100000001010	",0.658485,0.094606,8321
"01000001010010	",0.546263,0.092935,8385
"00010111000000	",0.524747,0.106286,8211
"00011100000010	",0.58118,0.098156,8541
"01000000100110	",0.603264,0.091171,8307
"01000100100010	",0.53296,0.09752,8565
"00011000001100	",0.454618,0.081131,7869
"01010000011000	",0.487686,0.085494,8516
"00011000100010	",0.616576,0.068629,8545
"00110110000000	",0.544204,0.061522,8420
"00001000101100	",0.427904,0.106977,7219
"00100001011000	",0.589274,0.070038,8294
"00100101100000	",0.607699,0.106021,8440
"01011100000000	",0.540459,0.066391,8406
"01000000000111	",0.599542,0.10511,8328
